iteration,episode,action,reward,carol_help_alice_regret,carol_decline_alice_regret,carol_reciprocate_alice_regret
258,26,carol_reciprocate_alice,0.2000,24.7259,-74.2612,32.3494
259,26,carol_reciprocate_alice,0.5000,24.5849,-74.7797,32.3494
260,26,carol_reciprocate_alice,0.5000,24.4440,-75.2982,32.3494
261,27,carol_reciprocate_alice,0.5000,24.3031,-75.8168,32.3494
262,27,carol_reciprocate_alice,0.2000,24.4622,-76.0353,32.3494
263,27,carol_help_alice,0.2000,24.4622,-76.2538,32.5429
264,27,carol_decline_alice,0.1000,24.7195,-76.2538,32.8365
265,27,carol_decline_alice,0.1000,24.9768,-76.2538,33.1300
266,27,carol_decline_alice,-0.3000,25.6341,-76.2538,33.8235
267,27,carol_help_alice,0.2000,25.6341,-76.4728,34.0171
268,27,carol_reciprocate_alice,0.5000,25.4897,-76.9919,34.0171
269,27,carol_reciprocate_alice,0.5000,25.3452,-77.5109,34.0171
270,27,carol_decline_alice,-0.3000,26.0008,-77.5109,34.7129
271,28,carol_reciprocate_alice,0.2000,26.1563,-77.7333,34.7129
272,28,carol_decline_alice,0.1000,26.4119,-77.7333,35.0066
273,28,carol_help_alice,0.6000,26.4119,-78.3542,34.8004
274,28,carol_decline_alice,0.1000,26.6701,-78.3542,35.0941
275,28,carol_decline_alice,0.1000,26.9284,-78.3542,35.3879
276,28,carol_decline_alice,0.1000,27.1866,-78.3542,35.6816
277,28,carol_help_alice,0.6000,27.1866,-78.9711,35.4754
278,28,carol_decline_alice,0.1000,27.4475,-78.9711,35.7691
279,28,carol_reciprocate_alice,0.5000,27.3084,-79.4866,35.7691
280,28,carol_help_alice,0.2000,27.3084,-79.7022,35.9640
281,29,carol_help_alice,0.2000,27.3084,-79.9177,36.1588
282,29,carol_decline_alice,0.1000,27.5658,-79.9177,36.4537
283,29,carol_decline_alice,0.1000,27.8233,-79.9177,36.7485
284,29,carol_help_alice,0.2000,27.8233,-80.1308,36.9434
285,29,carol_decline_alice,0.1000,28.0791,-80.1308,37.2382
286,29,carol_decline_alice,-0.3000,28.7348,-80.1308,37.9331
287,29,carol_decline_alice,0.1000,28.9906,-80.1308,38.2279
288,29,carol_reciprocate_alice,0.5000,28.8464,-80.6445,38.2279
289,29,carol_reciprocate_alice,0.5000,28.7022,-81.1581,38.2279
290,29,carol_help_alice,0.2000,28.7022,-81.3718,38.4249
291,30,carol_reciprocate_alice,0.5000,28.5564,-81.8855,38.4249
292,30,carol_decline_alice,-0.3000,29.2105,-81.8855,39.1229
293,30,carol_reciprocate_alice,0.5000,29.0647,-82.4022,39.1229
294,30,carol_reciprocate_alice,0.5000,28.9189,-82.9188,39.1229
295,30,carol_help_alice,0.6000,28.9189,-83.5355,38.9229
296,30,carol_help_alice,0.2000,28.9189,-83.7522,39.1229
297,30,carol_decline_alice,0.1000,29.1740,-83.7522,39.4229
298,30,carol_help_alice,0.2000,29.1740,-83.9676,39.6229
299,30,carol_reciprocate_alice,0.5000,29.0275,-84.4831,39.6229
300,30,carol_decline_alice,0.1000,29.2810,-84.4831,39.9238
301,31,carol_help_alice,0.6000,29.2810,-85.0974,39.7248
302,31,carol_reciprocate_alice,0.2000,29.4370,-85.3117,39.7248
303,31,carol_decline_alice,0.1000,29.6930,-85.3117,40.0239
304,31,carol_reciprocate_alice,0.5000,29.5490,-85.8248,40.0239
305,31,carol_reciprocate_alice,0.5000,29.4050,-86.3379,40.0239
306,31,carol_help_alice,0.2000,29.4050,-86.5511,40.2248
307,31,carol_reciprocate_alice,0.2000,29.5595,-86.7642,40.2248
308,31,carol_decline_alice,-0.3000,30.2140,-86.7642,40.9239
309,31,carol_reciprocate_alice,0.5000,30.0684,-87.2802,40.9239
310,31,carol_help_alice,0.6000,30.0684,-87.8962,40.7239
311,32,carol_reciprocate_alice,0.2000,30.2253,-88.1122,40.7239
312,32,carol_reciprocate_alice,0.2000,30.3821,-88.3282,40.7239
313,32,carol_decline_alice,0.1000,30.6390,-88.3282,41.0202
314,32,carol_decline_alice,-0.3000,31.2959,-88.3282,41.7166
315,32,carol_decline_alice,0.1000,31.5527,-88.3282,42.0130
316,32,carol_help_alice,0.2000,31.5527,-88.5447,42.2093
317,32,carol_decline_alice,0.1000,31.8081,-88.5447,42.5057
318,32,carol_reciprocate_alice,0.2000,31.9634,-88.7601,42.5057
319,32,carol_reciprocate_alice,0.2000,32.1187,-88.9755,42.5057
320,32,carol_decline_alice,0.1000,32.3741,-88.9755,42.7985
321,33,carol_decline_alice,0.1000,32.6294,-88.9755,43.0914
322,33,carol_help_alice,0.2000,32.6294,-89.1887,43.2842
323,33,carol_help_alice,0.6000,32.6294,-89.8019,43.0771
324,33,carol_help_alice,0.2000,32.6294,-90.0151,43.2700
325,33,carol_reciprocate_alice,0.5000,32.4841,-90.5283,43.2700
326,33,carol_decline_alice,0.1000,32.7389,-90.5283,43.5638
327,33,carol_reciprocate_alice,0.2000,32.8936,-90.7405,43.5638
328,33,carol_decline_alice,-0.3000,33.5483,-90.7405,44.2559
329,33,carol_reciprocate_alice,0.5000,33.4030,-91.2553,44.2559
330,33,carol_reciprocate_alice,0.5000,33.2577,-91.7701,44.2559
331,34,carol_reciprocate_alice,0.5000,33.1124,-92.2849,44.2559
332,34,carol_reciprocate_alice,0.5000,32.9672,-92.7997,44.2559
333,34,carol_decline_alice,-0.3000,33.6219,-92.7997,44.9516
334,34,carol_help_alice,0.2000,33.6219,-93.0172,45.1474
335,34,carol_reciprocate_alice,0.2000,33.7752,-93.2346,45.1474
336,34,carol_reciprocate_alice,0.2000,33.9284,-93.4520,45.1474
337,34,carol_help_alice,0.2000,33.9284,-93.6694,45.3399
338,34,carol_reciprocate_alice,0.2000,34.0803,-93.8869,45.3399
339,34,carol_help_alice,0.6000,34.0803,-94.5043,45.1308
340,34,carol_decline_alice,0.1000,34.3344,-94.5043,45.4217
341,35,carol_help_alice,0.2000,34.3344,-94.7207,45.6126
342,35,carol_decline_alice,0.1000,34.5871,-94.7207,45.9035
343,35,carol_help_alice,0.2000,34.5871,-94.9360,46.0944
344,35,carol_help_alice,0.2000,34.5871,-95.1513,46.2854
345,35,carol_decline_alice,0.1000,34.8371,-95.1513,46.5763
346,35,carol_decline_alice,-0.3000,35.4871,-95.1513,47.2672
347,35,carol_reciprocate_alice,0.2000,35.6371,-95.3681,47.2672
348,35,carol_decline_alice,0.1000,35.8871,-95.3681,47.5565
349,35,carol_reciprocate_alice,0.5000,35.7371,-95.8839,47.5565
350,35,carol_reciprocate_alice,0.5000,35.5871,-96.3997,47.5565
351,36,carol_help_alice,0.2000,35.5871,-96.6155,47.7476
352,36,carol_reciprocate_alice,0.5000,35.4358,-97.1313,47.7476
353,36,carol_help_alice,0.2000,35.4358,-97.3471,47.9396
354,36,carol_reciprocate_alice,0.5000,35.2832,-97.8629,47.9396
355,36,carol_help_alice,0.2000,35.2832,-98.0786,48.1325
356,36,carol_help_alice,0.6000,35.2832,-98.6944,47.9254
357,36,carol_reciprocate_alice,0.5000,35.1314,-99.2102,47.9254
358,36,carol_help_alice,0.2000,35.1314,-99.4260,48.1191
359,36,carol_help_alice,0.2000,35.1314,-99.6418,48.3128
360,36,carol_reciprocate_alice,0.2000,35.2772,-99.8576,48.3128
361,37,carol_reciprocate_alice,0.2000,35.4230,-100.0734,48.3128
362,37,carol_reciprocate_alice,0.5000,35.2687,-100.5892,48.3128
363,37,carol_help_alice,0.6000,35.2687,-101.2050,48.1043
364,37,carol_reciprocate_alice,0.5000,35.1166,-101.7207,48.1043
365,37,carol_help_alice,0.2000,35.1166,-101.9365,48.2967
366,37,carol_decline_alice,0.1000,35.3633,-101.9365,48.5890
367,37,carol_decline_alice,0.1000,35.6100,-101.9365,48.8814
368,37,carol_decline_alice,0.1000,35.8566,-101.9365,49.1738
369,37,carol_decline_alice,0.1000,36.1033,-101.9365,49.4661
370,37,carol_decline_alice,0.1000,36.3500,-101.9365,49.7585
371,38,carol_reciprocate_alice,0.5000,36.1966,-102.4475,49.7585
372,38,carol_help_alice,0.6000,36.1966,-103.0584,49.5517
373,38,carol_reciprocate_alice,0.5000,36.0454,-103.5693,49.5517
374,38,carol_decline_alice,0.1000,36.2942,-103.5693,49.8457
375,38,carol_help_alice,0.2000,36.2942,-103.7793,50.0396
376,38,carol_decline_alice,0.1000,36.5417,-103.7793,50.3336
377,38,carol_decline_alice,0.1000,36.7892,-103.7793,50.6276
378,38,carol_reciprocate_alice,0.5000,36.6368,-104.2875,50.6276
379,38,carol_decline_alice,-0.3000,37.2843,-104.2875,51.3224
