iteration,episode,person,action,reward,alice_help_bob,alice_decline_bob,alice_delay_bob,alice_help_carol,alice_decline_carol,alice_teach_carol,alice_help_dave,alice_decline_dave,alice_suggest_dave
76,3,carol,alice_decline_carol,0.5680,-4.6927,-4.3017,7.3958,-1.8258,3.2271,-1.9350,6.9125,-5.0918,-7.7099
77,3,carol,alice_teach_carol,-0.0320,-4.6927,-4.3017,7.3958,-1.8756,3.5905,-1.9350,6.9125,-5.0918,-7.7099
78,3,carol,alice_help_carol,0.1640,-4.6927,-4.3017,7.3958,-1.8756,3.9779,-1.9110,6.9125,-5.0918,-7.7099
79,3,carol,alice_decline_carol,0.5640,-4.6927,-4.3017,7.3958,-2.2829,3.9779,-2.2943,6.9125,-5.0918,-7.7099
80,3,carol,alice_teach_carol,-0.0360,-4.6927,-4.3017,7.3958,-2.3051,4.3630,-2.2943,6.9125,-5.0918,-7.7099
81,3,dave,alice_decline_dave,0.0800,-4.6927,-4.3017,7.3958,-2.3051,4.3630,-2.2943,7.4125,-5.0918,-7.6729
82,3,dave,alice_suggest_dave,0.5800,-4.6927,-4.3017,7.3958,-2.3051,4.3630,-2.2943,7.7925,-5.2118,-7.6729
83,3,dave,alice_help_dave,0.0900,-4.6927,-4.3017,7.3958,-2.3051,4.3630,-2.2943,7.7925,-5.6612,-8.0024
84,3,dave,alice_decline_dave,0.0900,-4.6927,-4.3017,7.3958,-2.3051,4.3630,-2.2943,8.2369,-5.6612,-7.8874
85,3,dave,alice_suggest_dave,0.5900,-4.6927,-4.3017,7.3958,-2.3051,4.3630,-2.2943,8.5057,-5.8369,-7.8874
86,3,dave,alice_decline_dave,0.0900,-4.6927,-4.3017,7.3958,-2.3051,4.3630,-2.2943,8.9461,-5.8369,-7.7157
87,3,dave,alice_decline_dave,0.0900,-4.6927,-4.3017,7.3958,-2.3051,4.3630,-2.2943,9.3833,-5.8369,-7.5472
88,3,dave,alice_decline_dave,0.0900,-4.6927,-4.3017,7.3958,-2.3051,4.3630,-2.2943,9.8177,-5.8369,-7.3815
89,3,dave,alice_help_dave,0.9000,-4.6927,-4.3017,7.3958,-2.3051,4.3630,-2.2943,9.8177,-6.3119,-7.6908
90,3,dave,alice_help_dave,0.9000,-4.6927,-4.3017,7.3958,-2.3051,4.3630,-2.2943,9.8177,-6.8201,-8.0333
91,4,bob,alice_delay_bob,0.4960,-5.1453,-4.6177,7.3958,-2.3051,4.3630,-2.2943,9.8177,-6.8201,-8.0333
92,4,bob,alice_help_bob,0.4060,-5.1453,-4.5347,7.7947,-2.3051,4.3630,-2.2943,9.8177,-6.8201,-8.0333
93,4,bob,alice_help_bob,0.4560,-5.1453,-4.4996,8.1458,-2.3051,4.3630,-2.2943,9.8177,-6.8201,-8.0333
94,4,bob,alice_decline_bob,0.0160,-5.1764,-4.4996,8.4658,-2.3051,4.3630,-2.2943,9.8177,-6.8201,-8.0333
95,4,bob,alice_decline_bob,0.0160,-5.2041,-4.4996,8.7891,-2.3051,4.3630,-2.2943,9.8177,-6.8201,-8.0333
96,4,bob,alice_help_bob,0.4987,-5.2041,-4.5150,9.0971,-2.3051,4.3630,-2.2943,9.8177,-6.8201,-8.0333
97,4,bob,alice_decline_bob,0.0260,-5.1867,-4.5150,9.4225,-2.3051,4.3630,-2.2943,9.8177,-6.8201,-8.0333
98,4,bob,alice_delay_bob,0.5260,-5.5054,-4.8511,9.4225,-2.3051,4.3630,-2.2943,9.8177,-6.8201,-8.0333
99,4,bob,alice_decline_bob,0.0260,-5.4862,-4.8511,9.7603,-2.3051,4.3630,-2.2943,9.8177,-6.8201,-8.0333
100,4,bob,alice_delay_bob,-0.2740,-5.7609,-5.1449,9.7603,-2.3051,4.3630,-2.2943,9.8177,-6.8201,-8.0333
101,4,carol,alice_decline_carol,0.5640,-5.7609,-5.1449,9.7603,-2.7290,4.3630,-2.6960,9.8177,-6.8201,-8.0333
102,4,carol,alice_teach_carol,0.4640,-5.7609,-5.1449,9.7603,-2.7952,4.7207,-2.6960,9.8177,-6.8201,-8.0333
103,4,carol,alice_help_carol,0.1600,-5.7609,-5.1449,9.7603,-2.7952,5.1243,-2.6500,9.8177,-6.8201,-8.0333
104,4,carol,alice_decline_carol,-0.0400,-5.7609,-5.1449,9.7603,-3.1665,5.1243,-2.9752,9.8177,-6.8201,-8.0333
105,4,carol,alice_help_carol,-0.3440,-5.7609,-5.1449,9.7603,-3.1665,5.5248,-2.9000,9.8177,-6.8201,-8.0333
106,4,carol,alice_help_carol,-0.3480,-5.7609,-5.1449,9.7603,-3.1665,5.9501,-2.8000,9.8177,-6.8201,-8.0333
107,4,carol,alice_decline_carol,0.5520,-5.7609,-5.1449,9.7603,-3.6062,5.9501,-3.1397,9.8177,-6.8201,-8.0333
108,4,carol,alice_decline_carol,0.5520,-5.7609,-5.1449,9.7603,-4.0584,5.9501,-3.4919,9.8177,-6.8201,-8.0333
109,4,carol,alice_decline_carol,0.5520,-5.7609,-5.1449,9.7603,-4.5217,5.9501,-3.8552,9.8177,-6.8201,-8.0333
110,4,carol,alice_help_carol,0.1480,-5.7609,-5.1449,9.7603,-4.5217,6.3961,-3.7724,9.8177,-6.8201,-8.0333
111,4,dave,alice_suggest_dave,-0.2000,-5.7609,-5.1449,9.7603,-4.5217,6.3961,-3.7724,10.2134,-6.9326,-8.0333
112,4,dave,alice_help_dave,0.9000,-5.7609,-5.1449,9.7603,-4.5217,6.3961,-3.7724,10.2134,-7.4684,-8.4566
113,4,dave,alice_help_dave,0.9000,-5.7609,-5.1449,9.7603,-4.5217,6.3961,-3.7724,10.2134,-8.0277,-8.9033
114,4,dave,alice_help_dave,0.1000,-5.7609,-5.1449,9.7603,-4.5217,6.3961,-3.7724,10.2134,-8.5498,-9.3130
115,4,dave,alice_help_dave,0.9000,-5.7609,-5.1449,9.7603,-4.5217,6.3961,-3.7724,10.2134,-9.0931,-9.7438
116,4,dave,alice_suggest_dave,-0.2000,-5.7609,-5.1449,9.7603,-4.5217,6.3961,-3.7724,10.6856,-9.1643,-9.7438
117,4,dave,alice_help_dave,0.1000,-5.7609,-5.1449,9.7603,-4.5217,6.3961,-3.7724,10.6856,-9.6761,-10.1846
118,4,dave,alice_suggest_dave,0.6000,-5.7609,-5.1449,9.7603,-4.5217,6.3961,-3.7724,11.0795,-9.7941,-10.1846
119,4,dave,alice_suggest_dave,-0.2000,-5.7609,-5.1449,9.7603,-4.5217,6.3961,-3.7724,11.5078,-9.8778,-10.1846
120,4,dave,alice_help_dave,0.1000,-5.7609,-5.1449,9.7603,-4.5217,6.3961,-3.7724,11.5078,-10.3619,-10.5850
121,5,bob,alice_decline_bob,0.0260,-5.7402,-5.1449,10.0557,-4.5217,6.3961,-3.7724,11.5078,-10.3619,-10.5850
122,5,bob,alice_help_bob,0.4720,-5.7402,-5.1992,10.2966,-4.5217,6.3961,-3.7724,11.5078,-10.3619,-10.5850
123,5,bob,alice_delay_bob,0.5220,-5.9924,-5.5058,10.2966,-4.5217,6.3961,-3.7724,11.5078,-10.3619,-10.5850
124,5,bob,alice_decline_bob,0.0220,-5.9365,-5.5058,10.6048,-4.5217,6.3961,-3.7724,11.5078,-10.3619,-10.5850
125,5,bob,alice_decline_bob,0.0220,-5.8792,-5.5058,10.9143,-4.5217,6.3961,-3.7724,11.5078,-10.3619,-10.5850
126,5,bob,alice_delay_bob,0.5220,-6.1412,-5.8252,10.9143,-4.5217,6.3961,-3.7724,11.5078,-10.3619,-10.5850
127,5,bob,alice_delay_bob,0.5220,-6.4121,-6.1534,10.9143,-4.5217,6.3961,-3.7724,11.5078,-10.3619,-10.5850
128,5,bob,alice_delay_bob,-0.2780,-6.6488,-6.4474,10.9143,-4.5217,6.3961,-3.7724,11.5078,-10.3619,-10.5850
129,5,bob,alice_delay_bob,0.5220,-6.8946,-6.7505,10.9143,-4.5217,6.3961,-3.7724,11.5078,-10.3619,-10.5850
130,5,bob,alice_decline_bob,0.0220,-6.8360,-6.7505,11.2187,-4.5217,6.3961,-3.7724,11.5078,-10.3619,-10.5850
131,5,carol,alice_decline_carol,0.5480,-6.8360,-6.7505,11.2187,-4.9772,6.3961,-4.1451,11.5078,-10.3619,-10.5850
132,5,carol,alice_teach_carol,0.4480,-6.8360,-6.7505,11.2187,-5.0953,6.7335,-4.1451,11.5078,-10.3619,-10.5850
133,5,carol,alice_decline_carol,0.5480,-6.8360,-6.7505,11.2187,-5.5592,6.7335,-4.4909,11.5078,-10.3619,-10.5850
134,5,carol,alice_decline_carol,-0.0520,-6.8360,-6.7505,11.2187,-5.9990,6.7335,-4.8126,11.5078,-10.3619,-10.5850
