iteration,episode,action,reward,carol_help_regret,carol_decline_regret,carol_reciprocate_regret
344,35,decline,0.1000,30.8103,-87.3403,35.1669
345,35,decline,0.1000,31.0619,-87.3403,35.4287
346,35,decline,-0.3000,31.7135,-87.3403,36.0904
347,35,decline,0.1000,31.9652,-87.3403,36.3522
348,35,reciprocate,0.5000,31.8168,-87.8441,36.3522
349,35,decline,0.1000,32.0684,-87.8441,36.6151
350,35,help,0.6000,32.0684,-88.4468,36.3780
351,36,help,0.6000,32.0684,-89.0496,36.1409
352,36,decline,-0.3000,32.7239,-89.0496,36.8039
353,36,reciprocate,0.5000,32.5795,-89.5550,36.8039
354,36,reciprocate,0.5000,32.4350,-90.0605,36.8039
355,36,help,0.2000,32.4350,-90.2659,36.9691
356,36,reciprocate,0.2000,32.5894,-90.4714,36.9691
357,36,decline,-0.3000,33.2437,-90.4714,37.6330
358,36,reciprocate,0.2000,33.3980,-90.6795,37.6330
359,36,decline,-0.3000,34.0524,-90.6795,38.2955
360,36,decline,0.1000,34.3067,-90.6795,38.5580
361,37,reciprocate,0.5000,34.1610,-91.1892,38.5580
362,37,reciprocate,0.2000,34.3154,-91.3990,38.5580
363,37,help,0.2000,34.3154,-91.6087,38.7203
364,37,help,0.6000,34.3154,-92.2184,38.4826
365,37,decline,0.1000,34.5704,-92.2184,38.7449
366,37,help,0.2000,34.5704,-92.4272,38.9072
367,37,help,0.2000,34.5704,-92.6360,39.0695
368,37,reciprocate,0.5000,34.4231,-93.1447,39.0695
369,37,help,0.2000,34.4231,-93.3535,39.2329
370,37,reciprocate,0.2000,34.5746,-93.5623,39.2329
371,38,reciprocate,0.5000,34.4261,-94.0711,39.2329
372,38,help,0.6000,34.4261,-94.6798,38.9961
373,38,reciprocate,0.2000,34.5795,-94.8886,38.9961
374,38,decline,0.1000,34.8329,-94.8886,39.2580
375,38,reciprocate,0.2000,34.9863,-95.0964,39.2580
376,38,decline,0.1000,35.2396,-95.0964,39.5186
377,38,decline,-0.3000,35.8930,-95.0964,40.1793
378,38,reciprocate,0.5000,35.7464,-95.6058,40.1793
379,38,decline,0.1000,35.9998,-95.6058,40.4410
380,38,help,0.6000,35.9998,-96.2143,40.2027
381,39,reciprocate,0.5000,35.8550,-96.7228,40.2027
382,39,reciprocate,0.5000,35.7102,-97.2312,40.2027
383,39,help,0.6000,35.7102,-97.8397,39.9665
384,39,help,0.2000,35.7102,-98.0482,40.1304
385,39,decline,-0.3000,36.3661,-98.0482,40.7942
386,39,reciprocate,0.5000,36.2220,-98.5591,40.7942
387,39,help,0.6000,36.2220,-99.1700,40.5591
388,39,decline,0.1000,36.4797,-99.1700,40.8240
389,39,help,0.6000,36.4797,-99.7800,40.5889
390,39,help,0.6000,36.4797,-100.3900,40.3538
391,40,help,0.2000,36.4797,-100.6000,40.5187
392,40,decline,0.1000,36.7397,-100.6000,40.7835
393,40,help,0.2000,36.7397,-100.8091,40.9484
394,40,decline,0.1000,36.9985,-100.8091,41.2133
395,40,reciprocate,0.5000,36.8574,-101.3173,41.2133
396,40,decline,0.1000,37.1163,-101.3173,41.4792
397,40,reciprocate,0.2000,37.2751,-101.5247,41.4792
398,40,help,0.2000,37.2751,-101.7320,41.6439
399,40,help,0.6000,37.2751,-102.3393,41.4085
400,40,help,0.6000,37.2751,-102.9466,41.1732
401,41,decline,0.1000,37.5362,-102.9466,41.4379
402,41,help,0.6000,37.5362,-103.5531,41.2025
403,41,reciprocate,0.2000,37.6990,-103.7595,41.2025
404,41,reciprocate,0.5000,37.5618,-104.2660,41.2025
405,41,decline,0.1000,37.8245,-104.2660,41.4670
406,41,decline,0.1000,38.0873,-104.2660,41.7314
407,41,reciprocate,0.5000,37.9500,-104.7707,41.7314
408,41,reciprocate,0.2000,38.1128,-104.9755,41.7314
409,41,reciprocate,0.2000,38.2755,-105.1802,41.7314
410,41,help,0.6000,38.2755,-105.7850,41.4945
411,42,help,0.6000,38.2755,-106.3898,41.2575
412,42,decline,0.1000,38.5415,-106.3898,41.5205
413,42,decline,0.1000,38.8075,-106.3898,41.7836
414,42,reciprocate,0.5000,38.6735,-106.8929,41.7836
415,42,reciprocate,0.2000,38.8395,-107.0960,41.7836
416,42,decline,-0.3000,39.5055,-107.0960,42.4464
417,42,reciprocate,0.5000,39.3715,-107.6014,42.4464
418,42,reciprocate,0.5000,39.2374,-108.1069,42.4464
419,42,decline,0.1000,39.5034,-108.1069,42.7112
420,42,decline,0.1000,39.7694,-108.1069,42.9760
421,43,reciprocate,0.2000,39.9354,-108.3107,42.9760
422,43,help,0.6000,39.9354,-108.9145,42.7397
423,43,help,0.6000,39.9354,-109.5183,42.5033
