iteration,episode,person,action,reward,help_bob,decline_bob,delay_bob,help_alice,decline_alice,teach_alice,help_dave,decline_dave,suggest_dave
115,4,dave,decline_dave,0.0960,0.8013,-8.2742,4.2941,-9.5610,12.8052,-2.3580,3.9223,-9.5442,4.9965
116,4,dave,decline_dave,0.0960,0.8013,-8.2742,4.2941,-9.5610,12.8052,-2.3580,4.4114,-9.5442,5.3755
117,4,dave,suggest_dave,-0.2040,0.8013,-8.2742,4.2941,-9.5610,12.8052,-2.3580,4.5684,-9.8762,5.3755
118,4,dave,help_dave,0.8500,0.8013,-8.2742,4.2941,-9.5610,12.8052,-2.3580,4.5684,-10.3892,5.1945
119,4,dave,help_dave,0.8538,0.8013,-8.2742,4.2941,-9.5610,12.8052,-2.3580,4.5684,-10.9227,4.9931
120,4,dave,suggest_dave,-0.2000,0.8013,-8.2742,4.2941,-9.5610,12.8052,-2.3580,4.8102,-11.2143,4.9931
121,5,bob,help_bob,0.3647,0.8013,-8.3266,4.5822,-9.5610,12.8052,-2.3580,4.8102,-11.2143,4.9931
122,5,bob,decline_bob,-0.0020,0.8560,-8.3266,4.9251,-9.5610,12.8052,-2.3580,4.8102,-11.2143,4.9931
123,5,bob,decline_bob,-0.0020,0.9127,-8.3266,5.2698,-9.5610,12.8052,-2.3580,4.8102,-11.2143,4.9931
124,5,bob,help_bob,0.3519,0.9127,-8.3977,5.5435,-9.5610,12.8052,-2.3580,4.8102,-11.2143,4.9931
125,5,bob,help_bob,0.3840,0.9127,-8.4833,5.8027,-9.5610,12.8052,-2.3580,4.8102,-11.2143,4.9931
126,5,bob,help_bob,-0.3860,0.9127,-8.5455,6.0853,-9.5610,12.8052,-2.3580,4.8102,-11.2143,4.9931
127,5,bob,help_bob,-0.3991,0.9127,-8.5857,6.3898,-9.5610,12.8052,-2.3580,4.8102,-11.2143,4.9931
128,5,bob,decline_bob,0.0100,0.9537,-8.5857,6.7354,-9.5610,12.8052,-2.3580,4.8102,-11.2143,4.9931
129,5,bob,help_bob,-0.4114,0.9537,-8.6062,7.0604,-9.5610,12.8052,-2.3580,4.8102,-11.2143,4.9931
130,5,bob,decline_bob,0.0060,0.9752,-8.6062,7.4070,-9.5610,12.8052,-2.3580,4.8102,-11.2143,4.9931
131,5,carol,decline_alice,0.5580,0.9752,-8.6062,7.4070,-10.0132,12.8052,-2.7226,4.8102,-11.2143,4.9931
132,5,carol,teach_alice,0.4580,0.9752,-8.6062,7.4070,-10.1286,13.1420,-2.7226,4.8102,-11.2143,4.9931
133,5,carol,help_alice,-0.2520,0.9752,-8.6062,7.4070,-10.1286,13.6061,-2.5953,4.8102,-11.2143,4.9931
134,5,carol,decline_alice,0.5680,0.9752,-8.6062,7.4070,-10.6072,13.6061,-2.9467,4.8102,-11.2143,4.9931
135,5,carol,teach_alice,0.4680,0.9752,-8.6062,7.4070,-10.7595,13.9324,-2.9467,4.8102,-11.2143,4.9931
136,5,carol,help_alice,0.2905,0.9752,-8.6062,7.4070,-10.7595,14.3876,-2.8178,4.8102,-11.2143,4.9931
137,5,carol,help_alice,0.2799,0.9752,-8.6062,7.4070,-10.7595,14.8227,-2.7091,4.8102,-11.2143,4.9931
138,5,carol,decline_alice,0.5740,0.9752,-8.6062,7.4070,-11.2075,14.8227,-3.0483,4.8102,-11.2143,4.9931
139,5,carol,help_alice,-0.2300,0.9752,-8.6062,7.4070,-11.2075,15.2811,-2.9291,4.8102,-11.2143,4.9931
140,5,carol,help_alice,-0.2393,0.9752,-8.6062,7.4070,-11.2075,15.7494,-2.8001,4.8102,-11.2143,4.9931
141,5,dave,suggest_dave,0.6000,0.9752,-8.6062,7.4070,-11.2075,15.7494,-2.8001,5.0374,-11.5206,4.9931
142,5,dave,help_dave,0.8571,0.9752,-8.6062,7.4070,-11.2075,15.7494,-2.8001,5.0374,-12.0720,4.7480
143,5,dave,decline_dave,0.1000,0.9752,-8.6062,7.4070,-11.2075,15.7494,-2.8001,5.5868,-12.0720,5.0523
144,5,dave,decline_dave,0.1000,0.9752,-8.6062,7.4070,-11.2075,15.7494,-2.8001,6.1344,-12.0720,5.3548
145,5,dave,help_dave,0.8600,0.9752,-8.6062,7.4070,-11.2075,15.7494,-2.8001,6.1344,-12.6352,5.0941
146,5,dave,decline_dave,0.1000,0.9752,-8.6062,7.4070,-11.2075,15.7494,-2.8001,6.6961,-12.6352,5.3952
147,5,dave,help_dave,0.8210,0.9752,-8.6062,7.4070,-11.2075,15.7494,-2.8001,6.6961,-13.2082,5.1232
148,5,dave,help_dave,0.8294,0.9752,-8.6062,7.4070,-11.2075,15.7494,-2.8001,6.6961,-13.7917,4.8408
149,5,dave,suggest_dave,-0.2000,0.9752,-8.6062,7.4070,-11.2075,15.7494,-2.8001,7.0127,-14.0586,4.8408
150,5,dave,suggest_dave,0.6000,0.9752,-8.6062,7.4070,-11.2075,15.7494,-2.8001,7.3151,-14.3397,4.8408
151,6,bob,delay_bob,0.5060,0.6393,-8.9635,7.4070,-11.2075,15.7494,-2.8001,7.3151,-14.3397,4.8408
